"Row ID",order_id,order_date,"Customer ID",customer_name,region,"Product ID",category,Sub-Category,"Product Name",sales,Quantity,Discount,profit
8,CA-2014-115812,06-09-2014,BH-11710,"Brosina Hoffman",West,TEC-PH-10002275,Technology,Phones,"Mitel 5320 IP Phone VoIP phone",907.152,6,0.2,90.7152
12,CA-2014-115812,06-09-2014,BH-11710,"Brosina Hoffman",West,TEC-PH-10002033,Technology,Phones,"Konftel 250 Conference phone - Charcoal black",911.424,4,0.2,68.3568
20,CA-2014-143336,8/27/2014,ZD-21925,"Zuschuss Donatelli",West,TEC-PH-10001949,Technology,Phones,"Cisco SPA 501G IP Phone",213.48,3,0.2,16.011
27,CA-2016-121755,1/16/2016,EH-13945,"Eric Hoffmann",West,TEC-AC-10003027,Technology,Accessories,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,3,0,11.7741
36,CA-2016-117590,12-08-2016,GH-14485,"Gene Hale",Central,TEC-PH-10004977,Technology,Phones,"GE 30524EE4",1097.544,7,0.2,123.4737
41,CA-2015-117415,12/27/2015,SN-20710,"Steve Nguyen",Central,TEC-PH-10000486,Technology,Phones,"Plantronics HL10 Handset Lifter",371.168,4,0.2,41.7564
42,CA-2017-120999,09-10-2017,LC-16930,"Linda Cazamias",Central,TEC-PH-10004093,Technology,Phones,"Panasonic Kx-TS550",147.168,4,0.2,16.5564
45,CA-2016-118255,03-11-2016,ON-18715,"Odella Nelson",Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
48,CA-2016-169194,6/20/2016,LH-16900,"Lena Hernandez",East,TEC-AC-10002167,Technology,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",45,3,0,4.95
49,CA-2016-169194,6/20/2016,LH-16900,"Lena Hernandez",East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104
55,CA-2016-105816,12-11-2016,JM-15265,"Janet Molinari",East,TEC-PH-10002447,Technology,Phones,"AT&T CL83451 4-Handset Telephone",1029.95,5,0,298.6855
60,CA-2016-111682,6/17/2016,TB-21055,"Ted Butterfield",East,TEC-AC-10002167,Technology,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",30,2,0,3.3
63,CA-2015-135545,11/24/2015,KM-16720,"Kunst Miller",West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
69,CA-2014-106376,12-05-2014,BS-11590,"Brendan Sweed",West,TEC-PH-10002726,Technology,Phones,"netTALK DUO VoIP Telephone Service",167.968,4,0.2,62.988
87,CA-2017-155558,10/26/2017,PG-18895,"Paul Gonzalez",Central,TEC-AC-10001998,Technology,Accessories,"Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",19.99,1,0,6.7966
