"Row ID",order_id,order_date,"Customer ID",customer_name,region,"Product ID",category,Sub-Category,"Product Name",sales,Quantity,Discount,profit
3,CA-2016-138688,06-12-2016,DV-13045,"Darrin Van Huff",West,OFF-LA-10000240,"Office Supplies",Labels,"Self-Adhesive Address Labels for Typewriters by Universal",14.62,2,0,6.8714
6,CA-2014-115812,06-09-2014,BH-11710,"Brosina Hoffman",West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
7,CA-2014-115812,06-09-2014,BH-11710,"Brosina Hoffman",West,OFF-AR-10002833,"Office Supplies",Art,"Newell 322",7.28,4,0,1.9656
8,CA-2014-115812,06-09-2014,BH-11710,"Brosina Hoffman",West,TEC-PH-10002275,Technology,Phones,"Mitel 5320 IP Phone VoIP phone",907.152,6,0.2,90.7152
9,CA-2014-115812,06-09-2014,BH-11710,"Brosina Hoffman",West,OFF-BI-10003910,"Office Supplies",Binders,"DXL Angle-View Binders with Locking Rings by Samsill",18.504,3,0.2,5.7825
10,CA-2014-115812,06-09-2014,BH-11710,"Brosina Hoffman",West,OFF-AP-10002892,"Office Supplies",Appliances,"Belkin F5C206VTEL 6 Outlet Surge",114.9,5,0,34.47
11,CA-2014-115812,06-09-2014,BH-11710,"Brosina Hoffman",West,FUR-TA-10001539,Furniture,Tables,"Chromcraft Rectangular Conference Tables",1706.184,9,0.2,85.3092
12,CA-2014-115812,06-09-2014,BH-11710,"Brosina Hoffman",West,TEC-PH-10002033,Technology,Phones,"Konftel 250 Conference phone - Charcoal black",911.424,4,0.2,68.3568
14,CA-2016-161389,12-05-2016,IM-15070,"Irene Maddox",West,OFF-BI-10003656,"Office Supplies",Binders,"Fellowes PB200 Plastic Comb Binding Machine",407.976,3,0.2,132.5922
18,CA-2014-167164,5/13/2014,AG-10270,"Alejandro Grove",West,OFF-ST-10000107,"Office Supplies",Storage,"Fellowes Super Stor/Drawer",55.5,2,0,9.99
19,CA-2014-143336,8/27/2014,ZD-21925,"Zuschuss Donatelli",West,OFF-AR-10003056,"Office Supplies",Art,"Newell 341",8.56,2,0,2.4824
20,CA-2014-143336,8/27/2014,ZD-21925,"Zuschuss Donatelli",West,TEC-PH-10001949,Technology,Phones,"Cisco SPA 501G IP Phone",213.48,3,0.2,16.011
21,CA-2014-143336,8/27/2014,ZD-21925,"Zuschuss Donatelli",West,OFF-BI-10002215,"Office Supplies",Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
25,CA-2015-106320,9/25/2015,EB-13870,"Emily Burns",West,FUR-TA-10000577,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table",1044.63,3,0,240.2649
26,CA-2016-121755,1/16/2016,EH-13945,"Eric Hoffmann",West,OFF-BI-10001634,"Office Supplies",Binders,"Wilson Jones Active Use Binders",11.648,2,0.2,4.2224
27,CA-2016-121755,1/16/2016,EH-13945,"Eric Hoffmann",West,TEC-AC-10003027,Technology,Accessories,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,3,0,11.7741
43,CA-2016-101343,7/17/2016,RA-19885,"Ruben Ausman",West,OFF-ST-10003479,"Office Supplies",Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
